Wavelength,Flux,BestFit,SkyFlux
4209.204,10.664,10.383,5.994
4210.174,9.347,10.040,5.565
4211.143,8.027,9.402,5.396
4212.113,8.661,9.608,5.450
4213.083,9.316,9.983,5.410
4214.053,10.424,10.292,5.325
4215.023,9.745,10.101,5.265
4215.994,8.842,8.741,5.199
4216.965,7.178,7.649,5.177
4217.936,6.971,7.806,5.241
4218.907,8.947,8.735,5.230
4219.879,9.675,9.388,5.131
4220.851,8.641,9.467,5.174
4221.823,9.113,9.483,5.340
4222.795,8.350,8.895,5.211
4223.767,7.061,7.789,5.105
4224.740,5.576,6.522,4.948
4225.713,2.115,5.159,4.806
4226.686,3.014,3.663,4.419
4227.659,2.318,2.410,4.132
4228.633,1.843,2.545,4.326
4229.607,2.116,3.947,4.582
4230.581,3.230,5.644,5.002
4231.555,5.734,7.025,5.212
4232.530,6.967,7.884,5.260
4233.504,7.351,8.081,5.466
4234.479,9.063,7.477,5.345
4235.454,6.647,7.491,5.162
4236.430,7.261,7.554,5.233
4237.405,6.006,7.430,5.240
4238.381,6.940,7.644,5.022
4239.357,7.386,8.515,4.967
4240.333,7.727,8.660,5.055
4241.310,8.545,8.772,5.056
4242.287,8.845,9.134,4.942
4243.263,9.384,9.514,5.145
4244.241,10.697,9.852,5.424
4245.218,11.988,10.458,5.137
4246.196,12.288,11.076,5.657
4247.173,9.299,10.668,6.532
4248.152,10.088,9.683,6.537
4249.130,8.977,8.849,5.950
4250.108,7.279,8.187,5.392
4251.087,6.641,7.161,5.270
4252.066,5.756,6.431,5.310
4253.045,6.030,7.149,5.452
4254.025,7.231,7.629,5.588
4255.004,5.204,6.843,5.442
4255.984,4.796,5.785,5.251
4256.964,5.838,6.610,5.515
4257.945,7.578,8.968,5.882
4258.925,8.247,9.547,5.654
4259.906,8.627,8.776,5.192
4260.887,7.930,7.407,4.686
4261.868,6.892,6.423,4.620
4262.849,6.880,7.142,5.019
4263.831,8.971,8.874,5.281
4264.813,10.758,10.101,5.404
4265.795,10.808,10.882,5.492
4266.778,12.024,11.088,5.677
4267.760,10.028,10.709,5.649
4268.743,11.093,10.247,5.519
4269.726,9.458,9.725,5.269
4270.709,8.173,9.001,5.110
4271.693,6.566,7.240,4.900
4272.676,4.708,5.343,4.718
4273.660,4.307,4.796,4.679
4274.644,4.342,5.595,4.805
4275.629,4.271,5.469,4.982
4276.613,5.633,5.725,4.955
4277.598,8.080,7.323,5.060
4278.583,9.412,9.413,5.355
4279.569,10.113,10.571,5.345
4280.554,11.760,10.239,5.162
4281.540,9.628,9.282,5.143
4282.526,8.873,8.973,5.092
4283.512,8.702,8.769,5.213
4284.499,8.713,8.917,5.225
4285.485,9.204,9.457,4.994
4286.472,10.045,9.373,5.074
4287.459,9.805,8.730,5.219
4288.447,9.129,8.376,4.889
4289.434,9.547,7.719,4.558
4290.422,6.506,6.555,4.460
4291.410,5.422,5.580,4.553
4292.398,6.183,5.989,4.751
4293.387,8.561,7.968,4.885
4294.375,9.351,8.953,5.144
4295.364,8.934,8.582,5.305
4296.353,8.594,8.356,5.132
4297.343,9.526,8.828,4.969
4298.332,9.378,8.525,4.930
4299.322,6.611,7.375,4.716
4300.312,5.306,5.954,4.133
4301.303,6.833,5.179,3.934
4302.293,7.689,5.434,4.033
4303.284,5.732,6.116,3.872
4304.275,8.322,6.271,3.984
4305.266,7.692,6.786,4.307
4306.258,6.751,6.808,4.598
4307.249,5.780,6.133,4.527
4308.241,5.335,5.188,4.463
4309.233,6.248,4.478,4.537
4310.226,6.162,4.381,4.462
4311.218,5.566,5.417,4.390
4312.211,7.951,6.417,4.760
4313.204,8.730,7.349,5.143
