Wavelength,Flux,BestFit,SkyFlux
5551.368,24.367,24.001,5.874
5552.646,24.378,23.909,5.734
5553.925,24.276,24.030,5.714
5555.204,24.141,23.861,5.444
5556.483,23.793,23.020,5.111
5557.763,23.530,23.009,5.291
5559.043,23.401,22.946,5.421
5560.323,23.346,23.201,5.465
5561.603,23.338,23.611,5.567
5562.884,24.048,23.407,5.405
5564.165,22.819,22.424,6.097
5565.446,22.755,22.180,6.730
5566.728,22.781,21.827,6.290
5568.010,20.939,21.361,5.726
5569.292,20.497,21.042,5.496
5570.575,20.625,21.036,5.696
5571.857,20.272,21.301,5.555
5573.141,22.251,21.359,5.368
5574.424,21.307,21.467,5.340
5575.708,21.090,21.581,8.865
5576.992,28.937,21.675,78.117
5578.276,13.728,21.784,296.196
5579.561,11.767,21.886,340.393
5580.846,23.417,21.988,151.465
5582.131,26.030,22.098,30.392
5583.416,25.548,22.189,10.131
5584.702,23.223,22.304,6.116
5585.988,23.107,22.422,5.318
5587.274,20.459,21.907,5.177
5588.561,18.364,19.153,5.122
5589.848,16.072,17.505,5.800
5591.135,16.625,17.823,6.286
5592.423,18.931,19.584,5.735
5593.711,21.290,21.399,5.206
5594.999,21.588,21.443,5.000
5596.287,20.109,20.283,5.066
5597.576,20.358,21.540,5.550
5598.865,20.718,22.265,5.996
5600.154,20.009,21.251,6.005
5601.444,20.788,20.307,5.471
5602.734,20.054,20.768,5.280
5604.024,20.604,19.831,5.220
5605.315,20.256,20.515,5.956
5606.606,22.827,22.538,7.245
5607.897,24.205,24.087,7.267
5609.188,24.608,24.301,6.132
5610.480,24.187,24.202,5.610
5611.772,24.856,24.136,5.499
5613.064,24.406,24.130,5.496
5614.357,25.007,24.464,5.646
5615.650,22.816,23.214,5.493
5616.943,19.727,19.876,5.228
5618.236,19.030,18.714,5.511
5619.530,21.231,21.113,5.934
5620.824,22.349,22.105,5.686
5622.119,21.681,22.055,5.459
5623.413,23.750,22.712,5.558
5624.708,23.608,23.519,6.550
5626.004,21.462,21.906,6.568
5627.299,20.409,21.080,6.052
5628.595,21.964,22.215,5.515
5629.891,22.548,23.197,5.315
5631.188,24.782,23.620,5.721
5632.484,24.248,24.091,5.543
5633.782,23.947,24.101,5.495
5635.079,24.257,24.152,5.560
5636.377,24.317,24.098,5.517
5637.675,23.301,23.716,5.394
5638.973,23.806,23.205,5.432
5640.271,22.842,23.130,5.714
5641.570,23.803,23.688,5.800
5642.869,24.439,23.347,5.461
5644.169,23.329,23.210,5.558
5645.469,22.415,23.248,6.172
5646.769,22.929,23.388,6.683
5648.069,23.541,23.626,6.750
5649.370,23.488,23.622,6.132
5650.671,24.020,23.345,5.725
5651.972,23.230,23.348,5.918
5653.274,25.756,23.735,5.875
5654.575,24.933,24.128,6.044
5655.878,24.338,23.955,6.004
5657.180,23.363,23.156,5.969
5658.483,23.084,23.047,6.215
5659.786,20.474,21.475,6.279
5661.089,20.351,20.781,6.355
5662.393,21.263,21.700,6.446
5663.697,22.455,22.411,6.154
5665.001,22.589,21.759,6.205
5666.306,22.919,23.106,6.884
5667.611,23.588,24.237,6.933
5668.916,23.285,24.076,7.074
5670.221,23.901,23.505,7.366
5671.527,23.177,23.437,7.947
5672.833,23.104,23.319,8.475
5674.139,23.750,23.611,8.425
5675.446,24.602,24.291,8.518
5676.753,24.400,24.340,7.947
5678.060,24.479,24.311,7.953
5679.368,24.549,24.768,7.786
5680.676,24.831,24.403,7.731
5681.984,23.618,24.058,8.741
5683.292,22.605,23.157,10.456
5684.601,23.078,22.452,12.302
5685.910,22.801,22.960,13.389
5687.220,22.878,23.968,13.405
5688.529,22.510,22.944,14.078
5689.839,21.768,21.793,14.629
5691.150,21.920,22.357,14.909
5692.460,23.190,23.512,14.261
5693.771,23.987,24.460,12.730
5695.082,24.814,24.951,11.243
5696.394,23.575,24.582,10.467
5697.706,24.844,24.649,9.637
5699.018,24.119,24.179,8.993
5700.330,23.655,23.298,8.760
5701.643,23.402,22.847,8.786
5702.956,22.819,22.867,8.545
5704.269,21.302,22.282,7.737
5705.583,21.822,22.799,7.374
5706.897,22.895,23.173,7.071
5708.211,22.197,22.904,7.045
5709.525,21.431,22.125,6.990
5710.840,21.353,21.304,6.981
5712.155,19.489,20.992,7.164
5713.471,19.747,21.049,7.121
5714.786,22.089,22.335,6.977
5716.102,23.745,23.696,6.722
5717.419,24.126,24.243,6.705
5718.735,23.051,24.197,6.862
5720.052,24.407,24.386,6.956
5721.370,24.440,24.826,6.972
5722.687,25.258,25.075,6.885
5724.005,25.861,25.321,6.807
5725.323,25.843,25.441,7.291
5726.642,25.438,25.151,7.165
5727.960,24.437,24.554,6.737
5729.279,23.902,23.615,6.622
5730.599,24.428,24.210,6.426
5731.918,25.129,24.691,6.376
5733.238,24.462,24.144,6.167
5734.559,24.399,23.814,6.234
5735.879,23.881,25.178,6.451
5737.200,24.296,25.367,6.494
5738.521,25.641,24.919,6.271
5739.843,24.258,24.680,6.248
5741.165,23.318,24.761,6.599
5742.487,25.387,24.787,6.396
5743.809,24.841,24.565,6.296
5745.132,24.916,24.579,6.226
5746.455,24.751,24.959,6.429
5747.778,25.076,25.307,6.264
5749.102,24.063,25.017,6.370
5750.426,23.788,24.423,6.668
5751.750,25.405,25.014,6.292
5753.075,25.096,25.185,6.108
5754.399,23.931,24.113,6.351
5755.725,23.707,23.161,6.368
5757.050,23.123,23.657,6.634
5758.376,24.199,25.167,6.574
5759.702,24.974,25.496,6.410
5761.028,25.567,25.269,6.828
5762.355,24.547,24.750,6.893
5763.682,23.308,23.765,6.676
5765.009,24.024,23.294,6.617
5766.337,24.948,24.182,6.949
5767.665,25.563,25.130,7.799
5768.993,26.988,25.255,8.795
5770.321,25.994,25.560,10.559
5771.650,24.854,25.758,11.387
5772.979,25.211,25.566,9.840
5774.309,25.039,25.241,7.862
5775.638,24.534,25.119,7.342
5776.969,24.588,24.694,6.786
5778.299,23.787,24.558,7.011
5779.630,25.275,24.686,7.046
5780.960,24.785,24.570,6.620
5782.292,24.432,23.691,6.523
5783.623,22.425,22.347,6.786
5784.955,22.269,22.548,6.676
5786.287,22.016,22.395,6.613
5787.620,21.747,22.388,7.040
5788.953,23.207,23.194,7.807
5790.286,23.852,24.238,9.333
5791.619,23.291,24.196,11.077
5792.953,22.650,23.741,10.915
5794.287,24.053,24.153,9.454
5795.621,25.474,25.106,8.188
5796.956,24.943,25.573,7.627
5798.291,25.803,25.107,7.313
5799.626,23.199,24.648,7.557
5800.962,24.164,24.908,7.294
5802.298,25.953,25.444,7.246
5803.634,24.960,25.861,7.404
5804.970,26.282,25.652,7.168
5806.307,24.700,24.946,7.402
5807.644,23.960,24.967,7.280
5808.982,24.933,24.932,7.122
5810.319,26.031,24.974,7.108
5811.657,25.260,25.035,7.136
5812.996,24.719,25.294,7.394
5814.334,25.572,25.742,6.945
5815.673,25.163,25.574,7.062
5817.013,24.124,24.789,7.231
5818.352,24.130,24.369,7.202
5819.692,25.415,24.700,7.539
5821.032,25.904,25.339,7.477
5822.373,25.637,25.631,7.537
5823.713,26.136,25.505,7.386
5825.055,25.229,25.187,7.310
5826.396,25.646,25.323,7.563
5827.738,25.993,25.562,7.725
5829.080,25.152,25.583,7.539
5830.422,25.622,25.528,7.357
5831.765,25.991,25.703,7.618
5833.108,25.079,25.771,7.758
5834.451,24.761,25.836,7.746
5835.795,25.370,25.708,7.728
5837.139,25.159,25.466,7.832
5838.483,25.336,25.405,7.936
5839.827,25.113,25.505,7.887
5841.172,24.476,25.390,8.027
5842.517,25.740,25.745,8.057
5843.863,26.021,25.927,8.113
5845.208,24.478,25.653,8.166
5846.554,25.278,25.386,8.130
5847.901,26.429,25.451,8.106
5849.248,25.105,25.222,8.218
5850.595,25.159,24.912,8.104
5851.942,25.108,25.148,8.216
5853.289,24.566,25.160,8.331
5854.637,25.090,24.324,8.445
5855.986,23.575,24.283,8.597
5857.334,24.011,23.994,8.415
5858.683,22.082,22.276,8.661
5860.032,22.098,21.316,8.715
5861.382,22.836,22.622,9.076
5862.731,23.515,24.679,8.963
5864.082,24.903,24.222,8.793
5865.432,23.835,24.251,9.557
5866.783,25.449,24.474,11.599
5868.134,24.619,24.187,13.398
5869.485,23.176,23.887,13.622
5870.837,23.956,24.386,12.174
5872.189,24.686,25.122,10.480
5873.541,25.534,25.384,10.002
5874.894,25.050,24.983,9.877
5876.246,25.294,24.847,9.502
5877.600,25.737,24.899,9.134
5878.953,25.021,24.511,8.498
5880.307,24.771,24.111,8.200
5881.661,23.736,23.534,7.763
5883.016,24.182,23.209,7.811
5884.370,22.218,23.071,7.522
5885.725,22.878,22.431,7.500
5887.081,21.475,21.158,8.105
5888.437,20.386,20.125,13.689
5889.793,14.317,16.429,32.942
5891.149,8.526,12.772,59.561
5892.506,7.158,11.290,58.469
5893.863,9.543,12.352,30.754
5895.220,13.051,14.287,18.635
5896.577,10.170,13.981,37.370
5897.935,9.217,11.996,47.637
5899.293,12.028,12.996,31.229
5900.652,17.843,16.441,12.659
5902.011,19.551,19.798,8.762
5903.370,22.761,21.715,8.119
5904.729,23.222,23.066,8.218
5906.089,23.211,23.423,8.689
5907.449,23.343,23.521,9.134
5908.810,23.659,23.896,9.559
5910.170,25.091,24.278,8.983
5911.531,24.496,24.369,8.096
5912.893,25.594,24.724,8.597
5914.254,24.487,24.532,9.447
5915.616,25.290,23.919,11.215
5916.979,23.272,23.375,13.005
5918.341,24.151,23.472,12.187
5919.704,24.839,24.137,10.232
5921.067,24.753,24.261,8.838
5922.431,25.941,24.587,9.228
5923.795,25.820,24.649,9.349
5925.159,25.017,24.559,10.445
5926.523,26.020,24.630,11.584
5927.888,25.429,24.868,11.229
5929.253,24.637,24.843,10.208
5930.619,24.526,24.472,10.203
5931.984,24.443,23.978,10.856
5933.350,24.208,24.366,13.298
5934.717,24.562,25.029,14.784
5936.083,25.213,24.741,13.287
5937.450,24.808,24.481,10.899
5938.818,24.608,24.910,9.944
5940.185,25.167,25.184,9.905
5941.553,25.448,25.129,9.504
5942.922,25.014,24.685,9.476
5944.290,24.604,24.237,9.636
5945.659,26.255,24.976,10.118
5947.028,24.996,25.471,11.308
5948.398,27.136,25.608,11.434
5949.768,26.438,25.310,10.466
5951.138,25.348,24.845,9.719
5952.508,25.021,24.662,10.499
5953.879,24.356,24.667,12.278
5955.250,24.298,24.402,13.769
5956.621,25.177,24.837,12.480
5957.993,25.719,24.922,10.047
5959.365,25.227,24.449,9.194
5960.738,24.884,24.556,9.395
5962.110,25.234,25.587,9.606
5963.483,26.436,25.617,9.345
5964.856,26.139,25.572,9.442
5966.230,27.340,25.240,9.326
5967.604,26.288,24.782,9.262
5968.978,25.555,24.845,9.215
5970.353,25.919,25.176,9.747
5971.728,25.628,25.509,10.726
5973.103,25.071,25.592,10.704
5974.478,25.813,25.530,9.627
5975.854,26.375,25.337,9.473
5977.230,25.413,24.814,10.571
5978.607,25.624,23.993,11.651
5979.984,25.378,23.958,11.119
5981.361,25.243,24.528,9.859
5982.738,25.000,25.274,9.419
5984.116,25.910,25.347,9.103
5985.494,24.585,24.415,8.995
5986.872,24.111,23.964,8.854
5988.251,24.910,24.281,8.750
5989.630,25.312,24.832,8.981
5991.009,26.513,25.233,8.878
5992.389,25.503,25.362,8.740
5993.769,26.169,25.456,8.834
5995.149,24.219,25.939,8.730
5996.530,25.527,25.888,8.664
5997.911,25.401,25.529,8.912
5999.292,24.755,25.138,9.064
6000.674,24.440,24.948,8.795
6002.055,24.708,24.994,8.576
6003.438,25.413,24.850,8.564
6004.820,24.924,24.382,9.390
6006.203,24.632,24.768,9.661
6007.586,26.061,25.105,8.898
6008.970,25.030,24.456,8.240
6010.353,23.622,23.532,8.002
6011.737,23.482,24.336,8.129
6013.122,25.485,25.133,8.180
6014.507,24.538,24.580,7.959
6015.892,23.828,24.081,7.955
6017.277,24.118,24.177,7.897
6018.663,24.301,24.184,7.803
6020.049,23.833,24.335,7.937
6021.435,24.348,24.213,7.737
6022.822,24.452,23.481,7.472
6024.209,23.319,23.357,7.387
6025.596,24.363,24.023,7.482
6026.983,24.549,24.532,7.645
6028.371,25.348,24.844,7.549
6029.760,26.321,25.330,7.672
6031.148,25.547,25.745,7.851
6032.537,25.376,25.993,7.693
6033.926,25.816,26.097,7.762
6035.316,26.270,26.093,8.104
6036.706,25.674,26.045,7.996
6038.096,25.901,26.102,7.498
6039.486,26.851,25.912,7.282
6040.877,25.980,25.540,7.308
6042.268,25.637,25.289,7.178
6043.660,25.727,25.370,7.059
6045.051,25.878,25.657,7.132
6046.444,25.703,26.022,7.171
6047.836,26.242,26.197,7.049
6049.229,26.499,26.260,7.218
6050.622,26.775,26.321,6.989
6052.015,26.099,26.348,7.055
6053.409,26.479,26.237,7.109
6054.803,26.502,26.003,6.879
6056.197,25.405,25.753,6.874
6057.592,26.144,25.369,6.930
6058.987,25.869,25.130,6.984
6060.382,25.764,25.499,6.834
6061.778,26.025,26.117,6.855
6063.174,26.214,25.979,7.155
6064.570,26.330,25.630,7.244
6065.966,24.278,24.720,6.994
6067.363,23.657,23.869,6.967
6068.761,25.650,24.413,7.063
6070.158,26.814,25.819,7.025
6071.556,26.268,26.266,6.887
6072.954,26.593,26.401,6.920
6074.353,26.891,26.327,6.871
6075.751,26.437,26.169,6.835
6077.151,26.817,26.237,6.758
6078.550,26.437,26.215,6.574
6079.950,23.586,25.391,6.605
6081.350,25.580,25.028,6.598
6082.750,25.108,25.126,6.393
6084.151,24.997,25.112,6.410
6085.552,24.845,24.882,6.453
6086.954,25.055,25.109,6.395
6088.355,25.156,25.466,6.428
6089.758,25.068,25.710,6.478
6091.160,24.613,25.412,6.594
6092.563,24.276,24.819,6.424
6093.966,25.091,24.793,6.317
6095.369,25.110,25.539,6.611
6096.773,25.019,25.682,6.865
6098.177,25.787,25.605,6.802
6099.581,24.177,25.510,6.871
6100.986,25.412,25.453,6.798
6102.391,26.074,24.930,6.532
6103.796,22.682,22.660,6.565
6105.201,21.100,21.184,6.705
6106.607,23.207,22.836,6.980
6108.014,24.564,25.093,6.994
6109.420,25.090,25.738,6.761
6110.827,25.708,25.321,6.798
6112.234,24.756,25.481,6.943
6113.642,24.962,25.229,7.126
6115.050,25.809,25.425,7.104
6116.458,25.578,25.790,6.879
6117.867,26.504,25.844,6.891
6119.275,25.395,25.607,6.593
6120.685,24.776,25.111,6.442
6122.094,22.470,23.270,6.285
6123.504,20.634,20.644,6.212
6124.914,20.010,19.844,6.067
6126.325,21.808,21.783,6.152
6127.735,24.648,24.309,6.557
6129.146,25.310,24.550,6.346
6130.558,25.583,24.982,6.437
6131.970,25.298,25.444,6.416
6133.382,25.265,25.702,6.492
6134.794,25.134,25.740,6.537
6136.207,24.426,25.150,6.521
6137.620,22.203,23.065,6.573
6139.033,21.023,21.314,6.904
6140.447,21.413,21.976,7.259
6141.861,24.057,23.905,7.165
6143.276,25.147,24.916,7.302
6144.690,24.559,24.563,7.314
6146.105,24.978,25.326,7.555
6147.521,25.724,25.475,7.534
6148.936,25.870,25.416,6.741
6150.352,25.224,25.189,6.478
6151.769,25.383,24.837,6.496
6153.185,25.488,24.697,6.904
6154.602,24.651,24.839,7.510
6156.020,24.834,24.716,8.069
6157.437,24.188,24.478,7.968
6158.855,24.873,24.250,7.337
6160.274,25.242,23.916,7.248
6161.692,22.863,22.642,8.211
6163.111,19.153,19.133,8.721
6164.530,17.188,16.613,8.211
6165.950,17.890,17.927,7.115
6167.370,21.263,21.078,6.427
6168.790,24.419,22.738,6.387
6170.211,21.658,21.677,6.881
6171.632,21.062,20.529,7.774
6173.053,21.711,21.385,8.120
6174.474,24.237,23.306,7.151
6175.896,25.032,24.562,6.541
6177.319,25.322,24.790,6.552
6178.741,26.042,24.861,6.508
6180.164,25.683,25.011,6.115
6181.587,25.181,25.116,5.854
6183.011,25.594,25.092,5.998
6184.435,26.070,25.086,6.160
6185.859,25.876,25.141,6.145
6187.283,25.347,25.016,6.205
6188.708,24.720,24.471,6.229
6190.133,24.357,24.268,6.214
6191.559,23.862,23.425,6.108
6192.985,22.693,22.441,6.131
6194.411,22.575,22.403,6.280
6195.837,23.870,23.603,6.335
6197.264,25.519,24.784,5.948
6198.691,25.995,25.241,5.857
6200.119,25.918,24.653,5.903
6201.546,24.904,23.888,6.088
6202.975,24.024,23.921,6.712
6204.403,24.736,24.782,7.463
6205.832,25.772,25.186,7.251
6207.261,26.272,25.119,6.290
6208.690,25.912,25.246,5.824
6210.120,26.232,25.440,5.927
6211.550,25.562,25.257,6.130
6212.981,25.012,24.585,6.510
6214.411,25.345,23.881,6.479
6215.842,23.779,22.899,6.229
6217.274,23.110,22.329,5.971
6218.706,23.357,22.503,5.347
6220.138,24.460,22.959,5.335
6221.570,24.745,22.981,6.379
6223.003,23.817,22.871,7.317
6224.436,24.200,23.486,7.621
6225.869,25.445,23.687,6.714
6227.303,24.599,23.713,5.981
6228.737,24.678,23.868,5.620
6230.171,25.528,23.594,5.377
6231.606,23.243,22.325,5.677
6233.041,21.969,21.264,6.065
6234.477,22.110,21.566,8.168
6235.912,23.316,22.755,11.984
6237.348,25.826,23.897,14.652
6238.785,25.244,24.311,13.981
6240.221,24.292,23.675,10.972
6241.658,24.164,22.979,9.105
6243.096,23.373,22.451,8.968
6244.534,23.041,22.047,8.541
6245.972,22.726,21.855,7.636
6247.410,22.588,22.093,6.784
6248.849,23.975,22.783,6.449
6250.288,23.655,23.689,6.391
6251.727,25.179,23.933,6.147
6253.167,23.919,23.164,5.714
6254.607,22.655,22.005,5.446
6256.047,22.771,21.601,5.973
6257.488,23.024,22.100,8.530
6258.929,22.242,21.634,12.188
6260.370,22.001,20.917,13.320
6261.812,22.389,21.101,10.704
6263.254,23.170,22.374,7.501
6264.696,24.454,23.751,7.139
6266.139,24.771,23.995,8.338
6267.582,24.117,23.588,8.734
6269.025,24.087,23.550,7.878
6270.469,24.756,23.632,6.680
6271.913,24.596,23.711,6.174
6273.357,25.417,24.120,6.067
6274.802,25.079,24.352,6.234
6276.247,25.532,24.269,6.648
6277.692,26.284,24.149,7.161
6279.138,25.785,24.311,7.354
6280.584,25.411,24.547,6.907
6282.030,25.166,24.337,6.333
6283.477,24.380,23.947,5.843
6284.924,23.875,24.106,6.078
6286.371,24.745,24.416,6.865
6287.819,26.032,24.629,10.034
6289.267,25.465,24.889,12.367
6290.715,25.639,25.219,11.362
6292.164,25.462,24.888,7.823
6293.613,25.837,24.352,6.143
6295.062,24.048,24.067,6.155
6296.511,24.748,24.014,6.371
6297.961,24.471,23.831,8.582
6299.412,26.336,23.435,23.639
6300.862,21.732,23.639,54.706
6302.313,24.741,23.512,69.747
6303.765,26.510,22.772,53.668
6305.216,22.806,22.644,21.403
6306.668,24.322,23.465,10.552
6308.121,23.861,24.241,14.026
6309.573,25.173,24.882,14.391
6311.026,25.504,25.257,10.239
6312.480,25.779,24.960,6.512
6313.933,24.604,24.454,6.181
6315.387,24.648,24.099,5.949
6316.842,23.788,23.743,5.754
6318.296,23.415,23.402,5.680
6319.751,23.372,23.078,5.764
6321.207,23.845,23.414,6.885
6322.662,23.500,24.209,8.331
6324.119,24.023,24.674,8.444
6325.575,24.556,24.537,7.218
6327.032,24.859,25.024,6.135
6328.489,25.483,25.002,6.668
6329.946,24.992,24.816,9.362
6331.404,25.116,24.864,12.365
6332.862,25.708,25.086,12.108
6334.320,25.524,25.149,8.182
6335.779,25.476,24.915,5.872
6337.238,24.736,23.852,5.538
6338.697,23.516,23.191,5.763
6340.157,23.131,23.458,5.837
6341.617,24.333,24.393,5.797
6343.077,24.431,25.180,5.899
6344.538,24.694,24.753,6.091
6345.999,23.908,24.131,5.985
6347.460,23.610,24.356,6.196
6348.922,25.171,25.158,7.189
6350.384,25.979,25.698,7.753
6351.847,25.617,25.578,7.378
6353.309,25.410,25.516,6.340
6354.772,24.952,25.467,6.070
6356.236,24.567,24.996,7.779
6357.700,24.779,24.453,10.043
6359.164,24.560,24.225,10.231
6360.628,24.175,24.053,7.808
6362.093,23.760,23.317,6.847
6363.558,22.664,23.135,14.815
6365.023,22.561,23.304,24.392
6366.489,24.372,23.829,25.572
6367.955,24.679,24.491,15.984
6369.422,24.419,24.823,7.478
6370.888,25.512,25.114,5.723
6372.356,25.936,25.157,5.590
6373.823,25.690,25.289,5.643
6375.291,26.490,25.265,5.613
6376.759,25.806,25.047,5.488
6378.227,25.570,25.013,5.780
6379.696,25.276,24.904,6.576
6381.165,24.849,24.346,7.049
6382.635,24.676,23.801,6.597
6384.105,24.418,23.782,5.997
6385.575,25.539,24.216,6.288
6387.045,24.016,24.525,7.578
6388.516,24.706,24.512,8.277
6389.987,25.035,24.257,7.371
6391.459,25.643,24.488,5.925
6392.931,25.193,24.633,5.450
6394.403,23.770,23.918,5.454
6395.875,23.206,22.858,5.423
6397.348,23.066,23.516,5.480
6398.822,24.510,24.674,5.329
6400.295,24.904,24.370,5.187
6401.769,22.684,23.173,5.173
6403.243,21.996,22.900,5.206
6404.718,24.759,24.374,5.468
6406.193,24.973,25.588,5.468
6407.668,25.083,25.366,5.331
6409.144,23.915,24.705,5.184
6410.619,24.178,24.395,5.089
6412.096,23.583,24.395,5.084
6413.572,23.927,24.226,5.520
6415.049,23.843,24.035,5.859
6416.527,23.982,24.654,5.810
6418.004,24.742,25.055,5.450
6419.482,24.864,25.073,5.413
6420.961,24.128,24.642,5.884
6422.439,23.212,23.705,6.292
6423.918,24.452,23.805,6.131
6425.398,24.874,24.986,5.354
6426.877,25.549,25.819,5.100
6428.357,26.566,25.887,5.133
6429.838,25.638,25.533,5.052
6431.318,24.689,25.014,4.983
6432.799,25.193,24.107,4.980
6434.281,24.034,23.951,4.857
6435.762,24.373,24.825,5.020
6437.244,25.488,25.635,4.954
6438.727,24.769,25.101,4.849
6440.210,23.456,23.195,4.883
6441.693,22.635,22.195,4.800
6443.176,23.125,23.560,4.889
6444.660,25.176,25.410,5.071
6446.144,26.167,26.276,5.136
6447.628,25.305,26.238,5.037
6449.113,25.586,25.942,5.149
6450.598,24.844,24.458,5.277
6452.084,22.217,22.740,5.515
6453.570,22.943,23.215,5.571
6455.056,24.552,24.896,5.649
6456.542,25.121,25.657,5.312
6458.029,24.132,25.123,5.360
6459.516,24.572,25.409,5.617
6461.004,25.616,26.062,5.613
6462.492,24.932,25.318,5.598
6463.980,23.512,23.231,6.412
6465.468,22.500,21.966,8.204
6466.957,23.167,23.557,9.839
6468.447,25.125,25.475,9.463
6469.936,25.801,25.753,8.308
6471.426,24.926,25.514,8.282
6472.916,24.990,25.081,9.250
6474.407,25.485,24.842,7.903
6475.898,25.022,25.491,5.804
6477.389,25.674,25.795,5.409
6478.881,26.097,25.779,5.815
6480.373,25.896,26.205,6.195
6481.865,25.566,26.322,5.601
6483.358,25.591,25.698,5.079
6484.851,25.765,25.229,4.843
6486.344,26.497,25.398,4.381
6487.838,26.318,26.052,4.438
6489.332,25.342,26.314,4.942
6490.826,25.144,26.106,4.825
6492.321,25.724,25.741,4.873
6493.816,24.558,24.927,4.824
6495.312,22.126,22.385,4.931
6496.808,20.671,20.269,5.298
6498.304,20.318,20.355,7.641
6499.800,22.320,22.063,11.920
6501.297,24.284,23.476,12.739
6502.794,23.241,23.650,9.371
6504.292,24.264,24.984,6.407
6505.789,25.425,25.699,7.188
6507.288,26.035,25.884,7.741
6508.786,26.336,25.927,6.806
6510.285,26.177,25.897,5.288
6511.784,25.392,25.826,4.944
6513.284,25.271,26.173,4.923
6514.784,26.027,26.109,5.353
6516.284,25.871,26.136,5.540
6517.785,25.102,26.076,5.221
6519.285,25.641,25.754,4.668
6520.787,25.510,25.635,4.763
6522.288,25.111,25.997,5.504
6523.790,26.380,26.333,6.529
6525.293,26.210,26.275,6.760
6526.795,26.160,26.257,5.864
6528.298,26.290,26.398,5.148
6529.802,26.501,26.242,5.002
6531.306,25.464,26.199,4.997
6532.810,25.478,25.918,7.357
6534.314,24.345,25.741,10.573
6535.819,26.439,25.798,10.932
6537.324,25.168,25.984,7.706
6538.829,25.407,26.152,5.059
6540.335,26.098,26.247,4.833
6541.841,25.986,26.546,5.183
6543.348,26.488,26.548,5.930
6544.855,25.517,26.201,7.110
6546.362,25.493,25.578,7.688
6547.869,25.003,24.730,6.987
6549.377,23.720,24.417,5.831
6550.885,24.921,25.279,5.394
6552.394,25.945,25.798,5.783
6553.903,25.528,25.689,9.169
6555.412,24.885,25.334,12.170
6556.922,24.768,24.830,10.912
6558.432,24.070,24.385,6.672
6559.942,25.327,24.830,4.769
6561.453,25.296,25.242,5.017
6562.964,23.445,23.517,6.836
6564.475,20.626,20.141,8.888
6565.987,19.841,19.169,8.244
6567.499,23.375,22.401,5.972
6569.011,24.976,24.831,5.976
6570.524,24.763,25.280,6.983
6572.037,25.309,24.964,6.763
6573.550,25.570,24.749,5.638
6575.064,24.995,24.263,4.946
6576.578,24.570,23.725,6.180
6578.093,24.620,24.708,9.065
6579.608,25.324,25.733,10.619
6581.123,25.500,25.861,8.756
6582.638,24.627,25.470,5.939
6584.154,25.564,25.485,5.805
6585.671,24.576,25.800,6.181
6587.187,25.858,25.825,5.817
6588.704,24.598,25.842,5.009
6590.221,26.164,26.080,4.655
6591.739,25.441,26.200,4.844
6593.257,25.113,25.469,4.861
6594.775,23.873,23.990,4.662
6596.294,23.111,23.665,5.245
6597.813,24.004,24.688,5.940
6599.332,24.981,25.609,6.203
6600.852,25.260,25.602,4.952
6602.372,25.385,25.518,4.500
6603.893,25.796,25.982,5.932
6605.413,26.195,26.145,7.562
6606.934,25.977,25.840,7.828
6608.456,25.185,25.384,6.256
6609.978,24.376,25.053,4.899
6611.500,24.375,24.965,4.662
6613.022,25.682,25.429,4.663
6614.545,25.998,25.868,4.643
6616.069,25.348,25.965,4.666
6617.592,25.768,26.022,4.720
6619.116,25.809,26.165,4.636
6620.640,25.470,26.097,4.669
6622.165,25.428,26.130,4.622
6623.690,26.193,26.167,4.653
6625.215,25.693,25.821,4.666
6626.741,25.225,25.354,4.850
6628.267,26.001,25.267,5.143
6629.793,25.541,25.585,5.399
6631.320,25.638,25.563,5.134
6632.847,25.719,25.437,4.994
6634.375,25.050,25.082,5.331
6635.903,24.585,24.671,5.958
6637.431,24.888,24.751,5.772
6638.959,25.307,25.505,5.076
6640.488,25.253,25.570,4.827
6642.017,25.441,25.717,4.857
6643.547,25.964,25.539,4.767
6645.077,25.480,25.204,4.469
6646.607,25.047,25.100,4.046
6648.138,25.008,25.243,4.179
6649.669,25.801,25.623,4.093
6651.200,26.293,25.637,4.799
6652.732,25.465,25.661,4.861
6654.264,26.025,25.601,4.808
6655.796,25.274,25.478,4.720
6657.329,25.773,25.686,4.687
6658.862,25.572,25.573,4.703
6660.395,26.101,25.517,4.622
6661.929,25.207,25.415,4.922
6663.463,24.646,25.067,5.005
6664.998,23.813,24.526,4.984
6666.532,24.499,24.248,4.831
6668.068,24.639,24.732,5.118
6669.603,24.822,25.044,5.399
6671.139,25.446,25.461,5.262
6672.675,25.532,25.747,4.796
6674.212,26.544,25.676,4.655
6675.749,25.499,25.602,4.696
6677.286,25.082,25.430,4.611
6678.824,24.800,24.552,4.679
6680.362,23.621,23.750,4.691
6681.900,24.099,23.958,4.642
6683.439,23.971,24.861,4.563
6684.978,25.230,25.112,4.635
6686.518,25.580,25.242,4.758
6688.058,25.648,25.333,4.726
6689.598,26.342,25.412,4.695
6691.138,25.903,25.398,4.752
6692.679,26.435,25.220,4.715
6694.220,25.341,25.021,4.678
6695.762,25.836,25.166,4.602
6697.304,25.640,24.762,4.679
6698.846,23.969,24.345,4.830
6700.389,24.655,24.513,5.126
6701.932,25.362,25.048,5.256
6703.475,24.747,25.131,5.088
6705.019,24.981,24.966,5.046
6706.563,24.898,24.810,5.140
