element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Cu,1,"=""3966.593""","=""0.003""","=""3966.592""","=""0.003""","=""158000""","=""""",,"=""55391.297""","=""57912.353""","=""3d10.5d""","=""2D""","=""5/2""","=""3d10.5f""","=""2F*""","=""7/2""",,"=""""","=""L18039""",
Ne,1,"=""3966.9971""","=""0.0004""","=""3966.9962""","=""0.0022""","=""280""","=""""",,"=""167796.9475""","=""170317.7465""","=""2s2.2p5.(2P*<1/2>).4d""","=""2[3/2]*""","=""2""","=""2s2.2p5.(2P*<1/2>).5f""","=""2[5/2]""","=""3""",,"=""""","=""L9097""",
Si,1,"=""""","=""""","=""3968.9""","=""1.0""","=""""","=""4.34e+04""",D,"=""61614.37""","=""64133.93""","=""3s2.3p.(2P*<3/2>).5f""","=""2[9/2]""","=""5""","=""3s2.3p.8d""","=""3F*""","=""4""",,"=""T6066LS'""","=""""",
Fe,2,"=""3969.434""","=""0.003""","=""3969.437""","=""0.003""","=""1.2""","=""""",,"=""73395.831""","=""75915.080""","=""3d5.4s2""","=""4F""","=""5/2""","=""3d6.(3D).4p""","=""w 2F*""","=""5/2""",,"=""""","=""L18349c139""",
S,1,"=""""","=""""","=""3969.83+""","=""0.22""","=""""","=""3.68e+03""",E,"=""79144.05""","=""81663.05""","=""3s2.3p3.(4S*).5f""","=""3F""","=""3""","=""3s2.3p3.(4S*).8d""","=""3D*""","=""3""",,"=""T7952""","=""""",
S,1,"=""""","=""""","=""3969.83+""","=""0.22""","=""""","=""4.27e+04""",D,"=""79144.05""","=""81663.05""","=""3s2.3p3.(4S*).5f""","=""3F""","=""4""","=""3s2.3p3.(4S*).8d""","=""3D*""","=""3""",,"=""T7952""","=""""",
S,1,"=""""","=""""","=""3969.83+""","=""0.22""","=""""","=""1.05e+02""",E',"=""79144.05""","=""81663.05""","=""3s2.3p3.(4S*).5f""","=""3F""","=""2""","=""3s2.3p3.(4S*).8d""","=""3D*""","=""3""",,"=""T7952""","=""""",
Ne,1,"=""3969.9524""","=""0.0005""","=""3969.9524""","=""0.0022""","=""75""","=""""",,"=""167011.5643""","=""169530.4862""","=""2s2.2p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""2""","=""2s2.2p5.(2P*<3/2>).5f""","=""2[3/2]""","=""2""",,"=""""","=""L9097""",
Fe,2,"=""3970.0463""","=""0.0016""","=""3970.0468""","=""0.0014""","=""0.05bl(Ne)""","=""""",,"=""105086.265""","=""107605.127""","=""3d6.(3F2).4d""","=""4P""","=""1/2""","=""3d6.(5D).6p""","=""6F*""","=""3/2""",,"=""""","=""L18349c148""",
Th,1,"=""3971.1529""","=""0.0013""","=""3971.15217""","=""0.00009""","=""5""","=""""",,"=""15493.21943""","=""18011.38030""","=""6d3.(2H).7s""","=""3H""","=""4""","=""5f.6d2.7s""","=""5H*""","=""5""",,"=""""","=""L9974""",
Cu,1,"=""3972.272""","=""0.003""","=""3972.274""","=""0.003""","=""103000""","=""""",,"=""55387.667""","=""57905.117""","=""3d10.5d""","=""2D""","=""3/2""","=""3d10.5f""","=""2F*""","=""5/2""",,"=""""","=""L18039""",
Cl,1,"=""3972.68""","=""0.10""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
Ar,2,"=""3973.0439""","=""0.0005""","=""3973.0442""","=""0.0005""","=""26""","=""""",,"=""187589.3383""","=""190106.3000""","=""3s2.3p4.(3P).4d""","=""2F""","=""5/2""","=""3s2.3p4.(3P).5p""","=""4D*""","=""3/2""",,"=""""","=""L11520""",
C,1,"=""3973.9962""","=""0.0006""","=""3973.99594""","=""0.00019""","=""5900""","=""2.20e+05""",B,"=""78318.26602""","=""80834.62491""","=""2s2.2p.3d""","=""3D*""","=""3""","=""2s2.2p.4p""","=""3D""","=""3""",,"=""T6070n""","=""L12175c183""",
Ar,2,"=""3974.7828""","=""0.0032""","=""3974.798""","=""0.003""","=""65bl""","=""""",,"=""190196.2066""","=""192712.058""","=""3s2.3p4.(3P).5p""","=""2P*""","=""1/2""","=""3s2.3p4.(3P).4d""","=""2D""","=""3/2""",,"=""""","=""L9974""",
Cl,1,"=""3975.48""","=""0.10""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
N,1,"=""""","=""""","=""3975.566""","=""0.010""","=""""","=""4.14e+05""",D+,"=""107588.469""","=""110103.834""","=""2s2.2p2.(3P).4p""","=""2P*""","=""1/2""","=""2s2.2p2.(3P).5s""","=""2P""","=""3/2""",,"=""u18,LS""","=""""",
Cr,1,"=""3975.577""","=""0.003""","=""3975.5755""","=""0.0011""","=""24""","=""""",,"=""24286.5418""","=""26801.9009""","=""3d5.(4D).4s""","=""b 5D""","=""1""","=""3d5.(6S).4p""","=""z 5P*""","=""1""",,"=""""","=""L14866""",
F,5,"=""""","=""""","=""3976""","=""22""","=""""","=""1.14e+05""",B,"=""744010.""","=""746525.""","=""2s2.4d""","=""2D""","=""3/2""","=""2s2.4f""","=""2F*""","=""5/2""",,"=""T7192c91,LS""","=""""",
Cl,1,"=""3976.17""","=""0.10""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
Xe,1,"=""3977.011""","=""0.100""","=""3977.03+""","=""0.16""","=""7""","=""""",,"=""90907.090""","=""93421.53""","=""5p5.(2P*<3/2>).4f""","=""2[5/2]""","=""3""","=""5p5.(2P*<3/2>).5g""","=""2[5/2]*""","=""3""",,"=""""","=""L234""",
Ti,1,"=""3977.731""","=""0.019""","=""3977.726""","=""0.008""","=""23""","=""""",,"=""17423.856""","=""19937.855""","=""3d3.(2D2).4s""","=""a 3D""","=""2""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3D*""","=""1""",,"=""""","=""L10989""",
Cr,1,"=""3977.978""","=""0.016""","=""3977.9787""","=""0.0014""","=""1""","=""""",,"=""31028.2590""","=""33542.0985""","=""3d5.(2D3).4s""","=""b 3D""","=""2""","=""3d4.(5D).4s.4p.(3P*)""","=""z 5D*""","=""2""",,"=""""","=""L14866""",
Cu,1,"=""3978.019""","=""0.022""","=""3978.010""","=""0.014""","=""4650""","=""""",,"=""55391.297""","=""57905.117""","=""3d10.5d""","=""2D""","=""5/2""","=""3d10.5f""","=""2F*""","=""5/2""",,"=""""","=""L18039""",
C,1,"=""3980.4766""","=""0.0006""","=""3980.4765""","=""0.0006""","=""11000""","=""2.03e+06""",B,"=""81325.81077""","=""83838.0728""","=""2s2.2p.4p""","=""3P""","=""1""","=""2s2.2p.4d""","=""3D*""","=""2""",,"=""T6070n""","=""L12175c183""",
Ne,1,"=""3980.9128""","=""0.0004""","=""3980.9122""","=""0.0022""","=""160""","=""""",,"=""167026.9923""","=""169538.9794""","=""2s2.2p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).5f""","=""2[5/2]""","=""2""",,"=""""","=""L9097""",
Xe,1,"=""3981.66""","=""0.40""","=""3981.72+""","=""0.16""","=""1""","=""""",,"=""90910.052""","=""93421.53""","=""5p5.(2P*<3/2>).4f""","=""2[5/2]""","=""2""","=""5p5.(2P*<3/2>).5g""","=""2[5/2]*""","=""3""",,"=""""","=""L1975""",
Ne,1,"=""3981.7158""","=""0.0004""","=""3981.716""","=""0.010""","=""180""","=""4.00e+05""",B+,"=""163401.3061""","=""165912.7861""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[1/2]""","=""0""","=""2s2.2p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""",,"=""T6976""","=""L9097""",
Xe,1,"=""3982.185""","=""0.100""","=""3982.21+""","=""0.16""","=""4""","=""""",,"=""90910.052""","=""93421.22""","=""5p5.(2P*<3/2>).4f""","=""2[5/2]""","=""2""","=""5p5.(2P*<3/2>).5g""","=""2[5/2]*""","=""2""",,"=""""","=""L234""",
Th,2,"=""3982.2246""","=""0.0017""","=""3982.22415""","=""0.00025""","=""1""","=""""",,"=""4490.26167""","=""7001.42117""","=""5f.7s2""","=""2F*""","=""5/2""","=""6d3""","=""""","=""3/2""",,"=""""","=""L9974""",
Th,2,"=""3982.8862""","=""0.0013""","=""3982.88568""","=""0.00024""","=""7""","=""""",,"=""8605.84210""","=""11116.58451""","=""6d2.(3F).7s""","=""2F""","=""5/2""","=""5f.6d.(3G*).7s""","=""4G*""","=""7/2""",,"=""""","=""L9974""",
Kr,1,"=""3983.0911""","=""0.0010""","=""3983.11+""","=""0.16""","=""120""","=""""",,"=""104630.57""","=""107141.171""","=""4s2.4p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""4""","=""4s2.4p5.(2P*<3/2>).7p""","=""2[5/2]""","=""3""",,"=""""","=""L234""",
Ne,1,"=""3984.0733""","=""0.0004""","=""3984.0725""","=""0.0022""","=""150""","=""""",,"=""167807.7649""","=""170317.7594""","=""2s2.2p5.(2P*<1/2>).4d""","=""2[3/2]*""","=""1""","=""2s2.2p5.(2P*<1/2>).5f""","=""2[5/2]""","=""2""",,"=""""","=""L9097""",
Cr,1,"=""3984.498""","=""0.011""","=""3984.4966""","=""0.0010""","=""7""","=""""",,"=""24286.5418""","=""26796.2691""","=""3d5.(4D).4s""","=""b 5D""","=""1""","=""3d5.(6S).4p""","=""z 5P*""","=""2""",,"=""""","=""L14866""",
C,1,"=""3985.4872""","=""0.0016""","=""3985.4877""","=""0.0013""","=""7000""","=""1.43e+06""",B,"=""81311.0544""","=""83820.1576""","=""2s2.2p.4p""","=""3P""","=""0""","=""2s2.2p.4d""","=""3D*""","=""1""",,"=""T6070n""","=""L12175c183""",
Na,1,"=""""","=""""","=""3985.78""","=""0.03""","=""""","=""2.59e+06""",A+,"=""34548.729""","=""37057.65""","=""2p6.4d""","=""2D""","=""5/2""","=""2p6.5f""","=""2F*""","=""7/2""",,"=""c30""","=""""",
Na,1,"=""""","=""""","=""3985.78""","=""0.03""","=""""","=""1.73e+05""",A,"=""34548.729""","=""37057.65""","=""2p6.4d""","=""2D""","=""5/2""","=""2p6.5f""","=""2F*""","=""5/2""",,"=""c30""","=""""",
Na,1,"=""""","=""""","=""3985.83""","=""0.03""","=""""","=""2.42e+06""",A+,"=""34548.764""","=""37057.65""","=""2p6.4d""","=""2D""","=""3/2""","=""2p6.5f""","=""2F*""","=""5/2""",,"=""c30""","=""""",
N,3,"=""""","=""""","=""3986.0""","=""2.2""","=""""","=""3.27e+05""",C+,"=""317779.5""","=""320288.3""","=""2s2.4d""","=""2D""","=""5/2""","=""2s2.4f""","=""2F*""","=""7/2""",,"=""T7192LS""","=""""",
Fe,2,"=""3986.1214""","=""0.0007""","=""3986.1203""","=""0.0019""","=""0.15bl(Fe I)""","=""""",,"=""109601.572""","=""112110.277""","=""3d6.(3D).5s""","=""2D""","=""3/2""","=""3d6.(3F2).5p""","=""4G*""","=""5/2""",,"=""""","=""L18349c139""",
Fe,1,"=""3986.122""","=""0.005""","=""3986.1235""","=""0.0022""","=""1380""","=""""",,"=""47966.585""","=""50475.288""","=""3d5.(6S).4s2.4p""","=""v 5P*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""e 7P""","=""4""",,"=""""","=""L11631""",
N,1,"=""""","=""""","=""3986.600""","=""0.010""","=""""","=""9.74e+04""",C,"=""105119.880""","=""107628.283""","=""2s2.2p2.(3P).3d""","=""2D""","=""3/2""","=""2s2.2p2.(3P).4p""","=""2P*""","=""3/2""",,"=""u18,LS""","=""""",
N,2,"=""""","=""""","=""3986.70""","=""0.10""","=""""","=""1.27e+05""",C+,"=""211749.35""","=""214257.69""","=""2s.2p2.(4P).3s""","=""3P""","=""0""","=""2s2.2p.5s""","=""3P*""","=""1""",,"=""T5520LS""","=""""",
Fe,2,"=""3986.7226""","=""0.0018""","=""3986.7242""","=""0.0008""","=""0.08""","=""""",,"=""105220.610""","=""107728.935""","=""3d6.(3H).4d""","=""4F""","=""7/2""","=""3d5.(2D3).4s.4p.(3P*)""","=""2D*""","=""5/2""",,"=""""","=""L18349c139""",
Fe,1,"=""3987.07""","=""0.03""","=""3987.071""","=""0.005""","=""4570bl""","=""""",,"=""57155.857""","=""59663.964""","=""3d6.4s.(6D).5d""","=""7G""","=""4""","=""3d6.4s.(6D<7/2>).5f""","=""2[11/2]*""","=""5""",,"=""""","=""L11631""",
C,1,"=""3987.600""","=""0.005""","=""3987.5966""","=""0.0004""","=""1400""","=""3.5e+04""",B,"=""78293.51263""","=""80801.28887""","=""2s2.2p.3d""","=""3D*""","=""1""","=""2s2.2p.4p""","=""3D""","=""2""",,"=""T6070n""","=""L12175c183""",
N,3,"=""""","=""""","=""3987.7""","=""1.0""","=""""","=""2.18e+04""",C+,"=""317779.5""","=""320287.2""","=""2s2.4d""","=""2D""","=""5/2""","=""2s2.4f""","=""2F*""","=""5/2""",,"=""T7192LS""","=""""",
Ar,2,"=""3988.0487""","=""0.0005""","=""3988.0486""","=""0.0005""","=""30""","=""""",,"=""199959.6798""","=""202467.1718""","=""3s2.3p4.(3P).5d""","=""4D""","=""5/2""","=""3s2.3p4.(3P).6p""","=""4D*""","=""3/2""",,"=""""","=""L11520""",
Cl,1,"=""3988.62""","=""0.10""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
C,1,"=""3988.6267""","=""0.0006""","=""3988.6269""","=""0.0010""","=""10000*""","=""3.7e+06""",B,"=""83919.66322""","=""86426.7917""","=""2s2.2p.(2P*<1/2>).4f""","=""2[5/2]""","=""3""","=""2s2.2p.(2P*<1/2>).5g""","=""2[7/2]*""","=""4""",,"=""T9787""","=""L12175c183""",
C,1,"=""3988.6267""","=""0.0006""","=""3988.6280""","=""0.0006""","=""10000*""","=""1.8e+05""",D+,"=""83919.66322""","=""86426.7910""","=""2s2.2p.(2P*<1/2>).4f""","=""2[5/2]""","=""3""","=""2s2.2p.(2P*<1/2>).5g""","=""2[7/2]*""","=""3""",,"=""T9787""","=""L12175c183""",
C,1,"=""3988.8047""","=""0.0008""","=""3988.8038""","=""0.0006""","=""14000""","=""3.6e+06""",B,"=""83919.77375""","=""86426.7910""","=""2s2.2p.(2P*<1/2>).4f""","=""2[5/2]""","=""2""","=""2s2.2p.(2P*<1/2>).5g""","=""2[7/2]*""","=""3""",,"=""T9787""","=""L12175c183""",
Cl,1,"=""3989.19""","=""0.10""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
Fe,2,"=""3989.3858""","=""0.0002""","=""3989.3850""","=""0.0008""","=""1""","=""""",,"=""105065.627""","=""107572.279""","=""3d6.(5D).5d""","=""6G""","=""7/2""","=""3d6.(5D).6p""","=""6F*""","=""5/2""",,"=""""","=""L18349c145""",
Ag,1,"=""3990""","=""100""","=""3989.092""","=""0.006""","=""5*""","=""""",,"=""54204.729""","=""56711.565""","=""4d10.4f""","=""2F*""","=""5/2""","=""4d10.5g""","=""2G""","=""7/2,9/2""",,"=""""","=""L15228""",
Ag,1,"=""3990""","=""100""","=""3989.118""","=""0.006""","=""5*""","=""""",,"=""54204.745""","=""56711.565""","=""4d10.4f""","=""2F*""","=""7/2""","=""4d10.5g""","=""2G""","=""7/2,9/2""",,"=""""","=""L15228""",
Fe,2,"=""3990.374""","=""0.003""","=""3990.3752""","=""0.0013""","=""0.06""","=""""",,"=""105230.291""","=""107736.321""","=""3d6.(5D).5d""","=""4D""","=""3/2""","=""3d6.(5D).6p""","=""4F*""","=""3/2""",,"=""""","=""L18349c139""",
Xe,1,"=""3990.66""","=""0.40""","=""3990.9+""","=""1.6""","=""1""","=""""",,"=""94226.320""","=""96732.0""","=""5p5.(2P*<3/2>).8d""","=""2[7/2]*""","=""4""","=""5p5.(2P*<3/2>).10f""","=""2[7/2]""","=""3""",,"=""""","=""L1975""",
Fe,1,"=""3991.098""","=""0.005""","=""3991.0983""","=""0.0022""","=""1580""","=""""",,"=""32873.632""","=""35379.208""","=""3d8""","=""c 3F""","=""4""","=""3d7.(4F).4p""","=""z 3G*""","=""5""",,"=""""","=""L11631""",
Cr,1,"=""3991.8343""","=""0.0016""","=""3991.8321""","=""0.0008""","=""98""","=""""",,"=""24282.3486""","=""26787.4640""","=""3d5.(4D).4s""","=""b 5D""","=""4""","=""3d5.(6S).4p""","=""z 5P*""","=""3""",,"=""""","=""L14866""",
N,3,"=""""","=""""","=""3991.9""","=""1.0""","=""""","=""2.99e+03""",B,"=""309185.2""","=""311690.3""","=""2s.2p.(3P*).3p""","=""2P""","=""3/2""","=""2s2.4p""","=""2P*""","=""1/2""",,"=""T7192LS""","=""""",
C,1,"=""3992.3106""","=""0.0005""","=""3992.3106""","=""0.0005""","=""19000""","=""2.25e+06""",B,"=""81344.05485""","=""83848.8700""","=""2s2.2p.4p""","=""3P""","=""2""","=""2s2.2p.4d""","=""3D*""","=""3""",,"=""T6070n""","=""L12175c183""",
S,4,"=""""","=""""","=""3993.0+""","=""2.3""","=""""","=""1.40e+05""",D+,"=""308996.2""","=""311500.6""","=""3s.3p.(1P*).4s""","=""2P*""","=""3/2""","=""3s2.6s""","=""2S""","=""1/2""",,"=""T6527c4,LS""","=""""",
Rb,1,"=""3993.462""","=""0.008""","=""3993.444""","=""0.023""","=""""","=""""",,"=""26792.092""","=""29296.196""","=""4p6.4f""","=""2F*""","=""7/2""","=""4p6.5g""","=""2G""","=""7/2""",,"=""""","=""L873""",
Rb,1,"=""3993.462""","=""0.008""","=""3993.444""","=""0.023""","=""""","=""""",,"=""26792.092""","=""29296.196""","=""4p6.4f""","=""2F*""","=""7/2""","=""4p6.5g""","=""2G""","=""9/2""",,"=""""","=""L873""",
Rb,1,"=""3993.462""","=""0.008""","=""3993.486""","=""0.023""","=""""","=""""",,"=""26792.118""","=""29296.196""","=""4p6.4f""","=""2F*""","=""5/2""","=""4p6.5g""","=""2G""","=""7/2""",,"=""""","=""L873""",
Ne,1,"=""3994.4171""","=""0.0005""","=""3994.4176""","=""0.0023""","=""29""","=""""",,"=""167026.9923""","=""169530.4862""","=""2s2.2p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).5f""","=""2[3/2]""","=""2""",,"=""""","=""L9097""",
Fe,1,"=""3994.44""","=""0.03""","=""3994.4477""","=""0.0022""","=""17000bl""","=""""",,"=""53610.412""","=""56113.887""","=""3d7.(4F).5p""","=""5D*""","=""4""","=""3d7.(4F).6s""","=""5F""","=""5""",,"=""""","=""L11631""",
Ne,1,"=""3994.4482""","=""0.0005""","=""3994.4477""","=""0.0023""","=""20""","=""""",,"=""167026.9923""","=""169530.4673""","=""2s2.2p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).5f""","=""2[3/2]""","=""1""",,"=""""","=""L9097""",
C,1,"=""3994.557""","=""0.007""","=""3994.5545""","=""0.0010""","=""990*""","=""""",,"=""83986.22212""","=""86489.6302""","=""2s2.2p.(2P*<3/2>).4f""","=""2[7/2]""","=""3""","=""2s2.2p.(2P*<3/2>).5g""","=""2[7/2]*""","=""4""",,"=""""","=""L12175c183""",
C,1,"=""3994.557""","=""0.007""","=""3994.5551""","=""0.0008""","=""990*""","=""4.5e+05""",D+,"=""83986.22212""","=""86489.6298""","=""2s2.2p.(2P*<3/2>).4f""","=""2[7/2]""","=""3""","=""2s2.2p.(2P*<3/2>).5g""","=""2[7/2]*""","=""3""",,"=""T9787""","=""L12175c183""",
C,1,"=""3994.989""","=""0.006""","=""3994.9861""","=""0.0011""","=""1300*""","=""4.5e+05""",D+,"=""83986.4926""","=""86489.6302""","=""2s2.2p.(2P*<3/2>).4f""","=""2[7/2]""","=""4""","=""2s2.2p.(2P*<3/2>).5g""","=""2[7/2]*""","=""4""",,"=""T9787""","=""L12175c183""",
C,1,"=""3994.989""","=""0.006""","=""3994.9868""","=""0.0010""","=""1300*""","=""1.7e+04""",D,"=""83986.4926""","=""86489.6298""","=""2s2.2p.(2P*<3/2>).4f""","=""2[7/2]""","=""4""","=""2s2.2p.(2P*<3/2>).5g""","=""2[7/2]*""","=""3""",,"=""T9787""","=""L12175c183""",
Si,1,"=""""","=""""","=""3995.5""","=""1.0""","=""""","=""8.77e+05""",B,"=""57798.072""","=""60300.860""","=""3s2.3p.5p""","=""1D""","=""2""","=""3s2.3p.5d""","=""1D*""","=""2""",,"=""T6066""","=""""",
Fe,1,"=""3995.525""","=""0.005""","=""3995.5234""","=""0.0023""","=""407""","=""""",,"=""32133.991""","=""34636.792""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3F*""","=""2""","=""3d6.4s2""","=""b 1D2""","=""2""",,"=""""","=""L11631""",
Ag,1,"=""3996.2""","=""1.0""","=""3998.820""","=""0.005""","=""8*""","=""""",,"=""54204.729""","=""56705.467""","=""4d10.4f""","=""2F*""","=""5/2""","=""4d10.7d""","=""2D""","=""5/2""",,"=""""","=""L15228""",
Ag,1,"=""3996.2""","=""1.0""","=""3998.845""","=""0.006""","=""8*""","=""""",,"=""54204.745""","=""56705.467""","=""4d10.4f""","=""2F*""","=""7/2""","=""4d10.7d""","=""2D""","=""5/2""",,"=""""","=""L15228""",
Xe,1,"=""3996.5646""","=""0.1000""","=""3996.608+""","=""0.023""","=""2500""","=""""",,"=""77269.145""","=""79771.267""","=""5p5.(2P*<3/2>).6p""","=""2[1/2]""","=""1""","=""5p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""0""",,"=""""","=""L234""",
Kr,1,"=""3996.573""","=""0.010""","=""3996.49+""","=""0.16""","=""500*""","=""""",,"=""106020.843""","=""108523.04""","=""4s2.4p5.(2P*<3/2>).4f""","=""2[5/2]""","=""3""","=""4s2.4p5.(2P*<3/2>).5g""","=""2[7/2]*""","=""3""",,"=""""","=""L234""",
Kr,1,"=""3996.573""","=""0.010""","=""3996.49+""","=""0.16""","=""500*""","=""""",,"=""106020.843""","=""108523.04""","=""4s2.4p5.(2P*<3/2>).4f""","=""2[5/2]""","=""3""","=""4s2.4p5.(2P*<3/2>).5g""","=""2[7/2]*""","=""4""",,"=""""","=""L234""",
Fe,2,"=""3996.6658""","=""0.0016""","=""3996.6828""","=""0.0016""","=""0.15""","=""""",,"=""105234.246""","=""107736.321""","=""3d6.(3P2).4d""","=""4P""","=""5/2""","=""3d6.(5D).6p""","=""4F*""","=""3/2""",,"=""""","=""L18349c145""",
Xe,1,"=""3996.700""","=""0.100""","=""3996.81+""","=""0.16""","=""1200*""","=""""",,"=""90944.133""","=""93446.13""","=""5p5.(2P*<3/2>).4f""","=""2[7/2]""","=""4""","=""5p5.(2P*<3/2>).5g""","=""2[9/2]*""","=""5""",,"=""""","=""L234""",
Xe,1,"=""3996.700""","=""0.100""","=""3996.67+""","=""0.16""","=""1200*""","=""""",,"=""90944.050""","=""93446.13""","=""5p5.(2P*<3/2>).4f""","=""2[7/2]""","=""3""","=""5p5.(2P*<3/2>).5g""","=""2[9/2]*""","=""4""",,"=""""","=""L234""",
Cr,1,"=""3996.712""","=""0.005""","=""3996.7083""","=""0.0011""","=""21""","=""""",,"=""24299.8419""","=""26801.9009""","=""3d5.(4D).4s""","=""b 5D""","=""2""","=""3d5.(6S).4p""","=""z 5P*""","=""1""",,"=""""","=""L14866""",
Ti,1,"=""3997.162""","=""0.019""","=""3997.180""","=""0.010""","=""8""","=""""",,"=""35242.198""","=""37743.962""","=""3d4""","=""3F2""","=""4""","=""3d3.(2D2).4p""","=""u 3F*""","=""3""",,"=""""","=""L10989""",
Br,1,"=""3997.526""","=""0.024""","=""3997.52+""","=""0.23""","=""120*""","=""""",,"=""88392.18""","=""90893.73""","=""4s2.4p4.(3P<2>).4f""","=""2[5]*""","=""11/2""","=""4s2.4p4.(3P<2>).5g""","=""2[6]""","=""11/2""",,"=""""","=""L821""",
Br,1,"=""3997.526""","=""0.024""","=""3997.52+""","=""0.23""","=""120*""","=""""",,"=""88392.18""","=""90893.73""","=""4s2.4p4.(3P<2>).4f""","=""2[5]*""","=""9/2""","=""4s2.4p4.(3P<2>).5g""","=""2[6]""","=""11/2""",,"=""""","=""L821""",
Br,1,"=""3997.526""","=""0.024""","=""3997.52+""","=""0.23""","=""120*""","=""""",,"=""88392.18""","=""90893.73""","=""4s2.4p4.(3P<2>).4f""","=""2[5]*""","=""11/2""","=""4s2.4p4.(3P<2>).5g""","=""2[6]""","=""13/2""",,"=""""","=""L821""",
Kr,1,"=""3997.751""","=""0.010""","=""3997.71+""","=""0.16""","=""300""","=""""",,"=""106021.607""","=""108523.04""","=""4s2.4p5.(2P*<3/2>).4f""","=""2[5/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).5g""","=""2[7/2]*""","=""3""",,"=""""","=""L234""",
Hg,1,"=""3998""","=""10""","=""3998""","=""10""","=""5""","=""""",,"=""77286.86""","=""79788""","=""5d10.6s.5f""","=""3F*""","=""4""","=""5d10.6s.5g""","=""3G""","=""5""",,"=""""","=""L15228c86""",
C,1,"=""3998.3500""","=""0.0003""","=""3998.3500""","=""0.0003""","=""23000""","=""3.7e+06""",B,"=""83926.22434""","=""86427.25603""","=""2s2.2p.(2P*<1/2>).4f""","=""2[7/2]""","=""3""","=""2s2.2p.(2P*<1/2>).5g""","=""2[9/2]*""","=""4""",,"=""T9787""","=""L12175c183""",
C,1,"=""3998.6696""","=""0.0005""","=""3998.6696""","=""0.0005""","=""16000""","=""3.8e+06""",B,"=""83926.42382""","=""86427.2556""","=""2s2.2p.(2P*<1/2>).4f""","=""2[7/2]""","=""4""","=""2s2.2p.(2P*<1/2>).5g""","=""2[9/2]*""","=""5""",,"=""T9787""","=""L12175c183""",
Si,1,"=""""","=""""","=""3999.07""","=""0.16""","=""""","=""1.73e+06""",C+,"=""57541.918""","=""60042.50""","=""3s2.3p.5p""","=""3S""","=""1""","=""3s2.3p.nd""","=""a 3P*""","=""0""",,"=""T6066LS""","=""""",
C,1,"=""3999.113""","=""0.014""","=""3999.0935""","=""0.0008""","=""650""","=""1.0e+05""",D+,"=""83926.22434""","=""86426.7910""","=""2s2.2p.(2P*<1/2>).4f""","=""2[7/2]""","=""3""","=""2s2.2p.(2P*<1/2>).5g""","=""2[7/2]*""","=""3""",,"=""T9787""","=""L12175c183""",
Si,1,"=""""","=""""","=""3999.4""","=""1.0""","=""""","=""1.35e+03""",E,"=""60704.53""","=""63204.89""","=""3s2.3p.(2P*<3/2>).6p<3/2>""","=""(3/2,3/2)""","=""3""","=""3s2.3p.7d""","=""3F*""","=""2""",,"=""T6066LS'""","=""""",
Fe,1,"=""3999.406""","=""0.005""","=""3999.4033""","=""0.0023""","=""10200""","=""""",,"=""38678.039""","=""41178.412""","=""3d7.(4F).4p""","=""y 3D*""","=""2""","=""3d8""","=""3P""","=""1""",,"=""""","=""L11631""",
C,1,"=""3999.430""","=""0.014""","=""3999.4115""","=""0.0010""","=""3500bl""","=""1.0e+05""",D+,"=""83926.42382""","=""86426.7917""","=""2s2.2p.(2P*<1/2>).4f""","=""2[7/2]""","=""4""","=""2s2.2p.(2P*<1/2>).5g""","=""2[7/2]*""","=""4""",,"=""T9787""","=""L12175c183""",
Cl,1,"=""3999.66""","=""0.10""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
