element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
He,1,"=""""","=""""","=""4652.12526047""","=""0.00000003""","=""""","=""1.092e+02""",AA,"=""[193921.621933101]""","=""[196071.177123492]""","=""1s.5g""","=""1G""","=""4""","=""1s.7f""","=""3F*""","=""4""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""4652.12730679""","=""0.00000003""","=""""","=""2.324e+02""",AA,"=""[193921.621933101]""","=""[196071.176177974]""","=""1s.5g""","=""1G""","=""4""","=""1s.7f""","=""3F*""","=""3""",,"=""T8636c73""","=""""",
3He,1,"=""""","=""""","=""4652.31023482""","=""0.00000003""","=""""","=""""",,"=""[193911.353831950]""","=""[196060.823556725]""","=""1s.5g""","=""3G""","=""4""","=""1s.7f""","=""1F*""","=""3""",,"=""""","=""""",
3He,1,"=""""","=""""","=""4652.31876276""","=""0.00000003""","=""""","=""""",,"=""[193911.353831950]""","=""[196060.819616636]""","=""1s.5g""","=""3G""","=""4""","=""1s.7f""","=""3F*""","=""4""",,"=""""","=""""",
3He,1,"=""""","=""""","=""4652.32080990""","=""0.00000003""","=""""","=""""",,"=""[193911.353831950]""","=""[196060.818670815]""","=""1s.5g""","=""3G""","=""4""","=""1s.7f""","=""3F*""","=""3""",,"=""""","=""""",
3He,1,"=""""","=""""","=""4652.32168214""","=""0.00000003""","=""""","=""""",,"=""[193911.359120852]""","=""[196060.823556725]""","=""1s.5g""","=""3G""","=""3""","=""1s.7f""","=""1F*""","=""3""",,"=""""","=""""",
3He,1,"=""""","=""""","=""4652.32475895""","=""0.00000003""","=""""","=""""",,"=""[193911.356602310]""","=""[196060.819616636]""","=""1s.5g""","=""3G""","=""5""","=""1s.7f""","=""3F*""","=""4""",,"=""""","=""""",
3He,1,"=""""","=""""","=""4652.32535068""","=""0.00000003""","=""""","=""""",,"=""[193911.360815791]""","=""[196060.823556725]""","=""1s.5g""","=""1G""","=""4""","=""1s.7f""","=""1F*""","=""3""",,"=""""","=""""",
3He,1,"=""""","=""""","=""4652.32673349""","=""0.00000003""","=""""","=""""",,"=""[193911.359120852]""","=""[196060.821222904]""","=""1s.5g""","=""3G""","=""3""","=""1s.7f""","=""3F*""","=""2""",,"=""""","=""""",
3He,1,"=""""","=""""","=""4652.33021012""","=""0.00000003""","=""""","=""""",,"=""[193911.359120852]""","=""[196060.819616636]""","=""1s.5g""","=""3G""","=""3""","=""1s.7f""","=""3F*""","=""4""",,"=""""","=""""",
3He,1,"=""""","=""""","=""4652.33225727""","=""0.00000003""","=""""","=""""",,"=""[193911.359120852]""","=""[196060.818670815]""","=""1s.5g""","=""3G""","=""3""","=""1s.7f""","=""3F*""","=""3""",,"=""""","=""""",
3He,1,"=""""","=""""","=""4652.33387868""","=""0.00000003""","=""""","=""""",,"=""[193911.360815791]""","=""[196060.819616636]""","=""1s.5g""","=""1G""","=""4""","=""1s.7f""","=""3F*""","=""4""",,"=""""","=""""",
3He,1,"=""""","=""""","=""4652.33592584""","=""0.00000003""","=""""","=""""",,"=""[193911.360815791]""","=""[196060.818670815]""","=""1s.5g""","=""1G""","=""4""","=""1s.7f""","=""3F*""","=""3""",,"=""""","=""""",
Th,3,"=""4652.5990""","=""0.0013""","=""4652.5983""","=""0.0005""","=""31""","=""""",,"=""2527.09550""","=""4676.43214""","=""5f.7s""","=""*""","=""3""","=""6d2""","=""""","=""2""",,"=""""","=""L9974""",
He,1,"=""""","=""""","=""4653.30521781""","=""0.00000015""","=""""","=""5.736e+03""",AA,"=""[193921.11826439]""","=""[196070.12838342]""","=""1s.5f""","=""3F*""","=""3""","=""1s.7d""","=""1D""","=""2""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""4653.33253729""","=""0.00000015""","=""""","=""1.3745e+04""",AAA,"=""[193921.13088112]""","=""[196070.12838342]""","=""1s.5f""","=""1F*""","=""3""","=""1s.7d""","=""1D""","=""2""",,"=""T8636c73""","=""""",
3He,1,"=""""","=""""","=""4653.51435570""","=""0.00000015""","=""""","=""""",,"=""[193910.85712967]""","=""[196059.77066805]""","=""1s.5f""","=""3F*""","=""3""","=""1s.7d""","=""1D""","=""2""",,"=""""","=""""",
3He,1,"=""""","=""""","=""4653.54167315""","=""0.00000015""","=""""","=""""",,"=""[193910.86974433]""","=""[196059.77066805]""","=""1s.5f""","=""1F*""","=""3""","=""1s.7d""","=""1D""","=""2""",,"=""""","=""""",
H,1,"=""4653.78""","=""0.03""","=""4653.774""","=""0.013""","=""4200""","=""3.2528e+05""",AAA,"=""105291.657""","=""107440.4508""","=""5""","=""""","=""""","=""7""","=""""","=""""",,"=""T8637""","=""L7421""",
B,1,"=""""","=""""","=""4653.8""","=""0.3""","=""""","=""2.22e+04""",C,"=""62516.5592""","=""64665.353""","=""2s2.5f""","=""2F*""","=""5/2""","=""2s2.7d""","=""2D""","=""3/2""",,"=""u27""","=""""",
B,1,"=""""","=""""","=""4653.8""","=""0.3""","=""""","=""2.1e+04""",C,"=""62516.5592""","=""64665.353""","=""2s2.5f""","=""2F*""","=""7/2""","=""2s2.7d""","=""2D""","=""5/2""",,"=""u27""","=""""",
B,1,"=""""","=""""","=""4653.8""","=""0.3""","=""""","=""1.06e+03""",C,"=""62516.5592""","=""64665.353""","=""2s2.5f""","=""2F*""","=""5/2""","=""2s2.7d""","=""2D""","=""5/2""",,"=""u27""","=""""",
Fe,1,"=""4653.879""","=""0.017""","=""4653.886""","=""0.003""","=""251""","=""""",,"=""51461.670""","=""53610.412""","=""3d6.(5D).4s (6D).4d""","=""f 5F""","=""4""","=""3d7.(4F).5p""","=""5D*""","=""4""",,"=""""","=""L11631""",
Si,3,"=""""","=""""","=""4654.2""","=""1.0""","=""""","=""1.54e+06""",B+,"=""240262.28""","=""242410.88""","=""3s.6d""","=""3D""","=""1""","=""3s.6f""","=""3F*""","=""2""",,"=""T6298c4,LS""","=""""",
He,1,"=""""","=""""","=""4654.29137161""","=""0.00000015""","=""""","=""1.2328e+04""",AAA,"=""[193921.11826439]""","=""[196069.67304998]""","=""1s.5f""","=""3F*""","=""3""","=""1s.7d""","=""3D""","=""2""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""4654.29189367""","=""0.00000015""","=""""","=""1.0868e+03""",AAA,"=""[193921.11826439]""","=""[196069.67280898]""","=""1s.5f""","=""3F*""","=""3""","=""1s.7d""","=""3D""","=""3""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""4654.29856216""","=""0.00000015""","=""""","=""1.8028e+04""",AAA,"=""[193921.12134275]""","=""[196069.67280898]""","=""1s.5f""","=""3F*""","=""4""","=""1s.7d""","=""3D""","=""3""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""4654.30014281""","=""0.00000015""","=""""","=""1.9630e+04""",AAA,"=""[193921.12575310]""","=""[196069.67648966]""","=""1s.5f""","=""3F*""","=""2""","=""1s.7d""","=""3D""","=""1""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""4654.30759403""","=""0.00000015""","=""""","=""2.1810e+03""",AAA,"=""[193921.12575310]""","=""[196069.67304998]""","=""1s.5f""","=""3F*""","=""2""","=""1s.7d""","=""3D""","=""2""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""4654.30811610""","=""0.00000015""","=""""","=""4.4513e+01""",AAA,"=""[193921.12575310]""","=""[196069.67280898]""","=""1s.5f""","=""3F*""","=""2""","=""1s.7d""","=""3D""","=""3""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""4654.31870267""","=""0.00000015""","=""""","=""5.122e+03""",AA,"=""[193921.13088112]""","=""[196069.67304998]""","=""1s.5f""","=""1F*""","=""3""","=""1s.7d""","=""3D""","=""2""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""4654.31922474""","=""0.00000015""","=""""","=""4.712e+02""",AA,"=""[193921.13088112]""","=""[196069.67280898]""","=""1s.5f""","=""1F*""","=""3""","=""1s.7d""","=""3D""","=""3""",,"=""T8636c73""","=""""",
3He,1,"=""""","=""""","=""4654.49977209""","=""0.00000015""","=""""","=""""",,"=""[193910.85712967]""","=""[196059.31571591]""","=""1s.5f""","=""3F*""","=""3""","=""1s.7d""","=""3D""","=""2""",,"=""""","=""""",
3He,1,"=""""","=""""","=""4654.50029399""","=""0.00000015""","=""""","=""""",,"=""[193910.85712967]""","=""[196059.31547501]""","=""1s.5f""","=""3F*""","=""3""","=""1s.7d""","=""3D""","=""3""",,"=""""","=""""",
3He,1,"=""""","=""""","=""4654.50696452""","=""0.00000015""","=""""","=""""",,"=""[193910.86020870]""","=""[196059.31547501]""","=""1s.5f""","=""3F*""","=""4""","=""1s.7d""","=""3D""","=""3""",,"=""""","=""""",
3He,1,"=""""","=""""","=""4654.50854518""","=""0.00000015""","=""""","=""""",,"=""[193910.86461845]""","=""[196059.31915515]""","=""1s.5f""","=""3F*""","=""2""","=""1s.7d""","=""3D""","=""1""",,"=""""","=""""",
3He,1,"=""""","=""""","=""4654.51599612""","=""0.00000015""","=""""","=""""",,"=""[193910.86461845]""","=""[196059.31571591]""","=""1s.5f""","=""3F*""","=""2""","=""1s.7d""","=""3D""","=""2""",,"=""""","=""""",
3He,1,"=""""","=""""","=""4654.51651801""","=""0.00000015""","=""""","=""""",,"=""[193910.86461845]""","=""[196059.31547501]""","=""1s.5f""","=""3F*""","=""2""","=""1s.7d""","=""3D""","=""3""",,"=""""","=""""",
3He,1,"=""""","=""""","=""4654.52710111""","=""0.00000015""","=""""","=""""",,"=""[193910.86974433]""","=""[196059.31571591]""","=""1s.5f""","=""1F*""","=""3""","=""1s.7d""","=""3D""","=""2""",,"=""""","=""""",
3He,1,"=""""","=""""","=""4654.52762302""","=""0.00000015""","=""""","=""""",,"=""[193910.86974433]""","=""[196059.31547501]""","=""1s.5f""","=""1F*""","=""3""","=""1s.7d""","=""3D""","=""3""",,"=""""","=""""",
Th,2,"=""4655.5247""","=""0.0024""","=""4655.5216""","=""0.0007""","=""1""","=""""",,"=""20686.14699""","=""22834.13401""","=""5f.(2F*).6d2.(3F)""","=""*""","=""5/2""","=""6d3""","=""2F""","=""7/2""",,"=""""","=""L9974""",
S,4,"=""""","=""""","=""4657+""","=""3""","=""""","=""5.75e+05""",C+,"=""336735.7""","=""338883.1""","=""3s2.7p""","=""2P*""","=""1/2""","=""3s.3p.(1P*).4p""","=""2D""","=""3/2""",,"=""T6527c4,LS""","=""""",
Xe,1,"=""4659.84""","=""0.40""","=""4659.2+""","=""0.3""","=""2""","=""""",,"=""94168.86""","=""96315.16""","=""5p5.(2P*<3/2>).9p""","=""2[3/2]""","=""1""","=""5p5.(2P*<3/2>).11d""","=""2[1/2]*""","=""1""",,"=""""","=""L1975""",
Na,1,"=""""","=""""","=""4665.75""","=""0.06""","=""""","=""2.09e+04""",A,"=""37057.65""","=""39200.93""","=""2p6.5f""","=""2F*""","=""7/2""","=""2p6.7d""","=""2D""","=""5/2""",,"=""c30""","=""""",
Na,1,"=""""","=""""","=""4665.75""","=""0.06""","=""""","=""1.04e+03""",B+,"=""37057.65""","=""39200.93""","=""2p6.5f""","=""2F*""","=""5/2""","=""2p6.7d""","=""2D""","=""5/2""",,"=""c30""","=""""",
Na,1,"=""""","=""""","=""4665.75""","=""0.06""","=""""","=""2.19e+04""",A,"=""37057.65""","=""39200.93""","=""2p6.5f""","=""2F*""","=""5/2""","=""2p6.7d""","=""2D""","=""3/2""",,"=""c30""","=""""",
Th,1,"=""4667.7165""","=""0.0020""","=""4667.71688""","=""0.00011""","=""3""","=""""",,"=""11802.93238""","=""13945.307389""","=""6d3.(4P).7s""","=""5P""","=""2""","=""6d.7s2.7p""","=""3F*""","=""3""",,"=""""","=""L9974""",
Al,2,"=""""","=""""","=""4668.2""","=""1.0""","=""""","=""2.48e+05""",C+,"=""145145.84""","=""147288.0""","=""3s.9p""","=""3P*""","=""0""","=""3s.10d""","=""3D""","=""1""",,"=""T6298c4,LS""","=""""",
Th,1,"=""4668.3292""","=""0.0017""","=""4668.32928""","=""0.00017""","=""5""","=""""",,"=""21890.13254""","=""24032.22651""","=""""","=""*""","=""3""","=""5f.6d.7s.7p""","=""5G""","=""4""",,"=""""","=""L9974""",
S,1,"=""""","=""""","=""4669.06+""","=""0.22""","=""""","=""1.22e+05""",D+,"=""77850.740""","=""79992.50""","=""3s2.3p3.(4S*).6p""","=""5P""","=""1""","=""3s2.3p3.(4S*).6d""","=""5D*""","=""2""",,"=""T7952""","=""""",
Xe,1,"=""4670.65""","=""0.40""","=""4670.77+""","=""0.03""","=""8""","=""""",,"=""88708.466""","=""90849.440""","=""5p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""2""","=""5p5.(2P*<3/2>).4f""","=""2[3/2]""","=""2""",,"=""""","=""L1975""",
Al,2,"=""4671.291""","=""0.010""","=""4671.22+""","=""0.22""","=""26""","=""""",,"=""132778.633""","=""134919.40""","=""3s.6s""","=""1S""","=""0""","=""3s.6p""","=""1P*""","=""1""",,"=""""","=""L6693c14""",
Al,2,"=""4671.316""","=""0.010""","=""4671.22""","=""0.10""","=""51hfs""","=""1.85e+06""",A,"=""132778.633""","=""134919.40""","=""3s.6s""","=""1S""","=""0""","=""3s.6p""","=""1P*""","=""1""",,"=""T6533""","=""L6693c150""",
Al,2,"=""4671.341""","=""0.010""","=""4671.22+""","=""0.22""","=""25""","=""""",,"=""132778.633""","=""134919.40""","=""3s.6s""","=""1S""","=""0""","=""3s.6p""","=""1P*""","=""1""",,"=""""","=""L6693c14""",
H,1,"=""""","=""""","=""4672.512""","=""0.005""","=""(370)""","=""2.1096e+04""",AAA,"=""106632.1681""","=""108772.3445""","=""6""","=""""","=""""","=""11""","=""""","=""""",,"=""T8637""","=""""",
Al,1,"=""""","=""""","=""4672.84""","=""0.10""","=""""","=""5.99e+03""",C+,"=""43875.749""","=""46015.774""","=""3s2.5g""","=""2G""","=""7/2""","=""3s2.7f""","=""2F*""","=""5/2""",,"=""u36,LS""","=""""",
Al,1,"=""""","=""""","=""4672.84""","=""0.10""","=""""","=""6.42e+03""",C+,"=""43875.749""","=""46015.774""","=""3s2.5g""","=""2G""","=""9/2""","=""3s2.7f""","=""2F*""","=""7/2""",,"=""u36,LS""","=""""",
Al,1,"=""""","=""""","=""4672.84""","=""0.10""","=""""","=""3.21e+02""",D,"=""43875.749""","=""46015.774""","=""3s2.5g""","=""2G""","=""7/2""","=""3s2.7f""","=""2F*""","=""7/2""",,"=""u36,LS""","=""""",
Xe,1,"=""4673.97""","=""0.40""","=""4673.22+""","=""0.22""","=""1*""","=""""",,"=""93421.22""","=""95561.074""","=""5p5.(2P*<3/2>).5g""","=""2[5/2]*""","=""2""","=""5p5.(2P*<3/2>).7f""","=""2[3/2]""","=""1""",,"=""""","=""L1975""",
Xe,1,"=""4673.97""","=""0.40""","=""4673.4+""","=""0.3""","=""1*""","=""""",,"=""93427.38""","=""95567.14""","=""5p5.(2P*<3/2>).5g""","=""2[11/2]*""","=""6""","=""5p5.(2P*<3/2>).7f""","=""2[9/2]""","=""5""",,"=""""","=""L1975""",
S,1,"=""""","=""""","=""4674.50+""","=""0.22""","=""""","=""2.03e+05""",D+,"=""77853.234""","=""79992.50""","=""3s2.3p3.(4S*).6p""","=""5P""","=""2""","=""3s2.3p3.(4S*).6d""","=""5D*""","=""2""",,"=""T7952""","=""""",
S,1,"=""""","=""""","=""4674.89+""","=""0.22""","=""""","=""2.32e+05""",D+,"=""77853.234""","=""79992.32""","=""3s2.3p3.(4S*).6p""","=""5P""","=""2""","=""3s2.3p3.(4S*).6d""","=""5D*""","=""3""",,"=""T7952""","=""""",
Xe,1,"=""4675.19""","=""0.40""","=""4675.5+""","=""2.2""","=""1*""","=""""",,"=""95313.401""","=""97452.2""","=""5p5.(2P*<3/2>).9d""","=""2[5/2]*""","=""2""","=""5p5.(2P*<3/2>).17f""","=""2[3/2]""","=""2""",,"=""""","=""L1975""",
Xe,1,"=""4675.19""","=""0.40""","=""4675.16+""","=""0.03""","=""1*""","=""""",,"=""93422.108""","=""95561.074""","=""5p5.(2P*<3/2>).9s""","=""2[3/2]*""","=""1""","=""5p5.(2P*<3/2>).7f""","=""2[3/2]""","=""1""",,"=""""","=""L1975""",
Si,3,"=""""","=""""","=""4675.6""","=""1.0""","=""""","=""5.85e+05""",B+,"=""225526.33""","=""227665.09""","=""3s.5f""","=""1F*""","=""3""","=""3s.5d""","=""1D""","=""2""",,"=""T6298c4""","=""""",
Fe,1,"=""4676.20""","=""0.04""","=""4676.208""","=""0.003""","=""331bl""","=""""",,"=""51016.660""","=""53155.145""","=""3d6.(5D).4s (6D).5p""","=""u 5F*""","=""5""","=""3d7.(4F).4d""","=""h 5D""","=""4""",,"=""""","=""L11631""",
Mg,1,"=""""","=""""","=""4677.3""","=""1.0""","=""""","=""4.02e+02""",E,"=""57262.760""","=""59400.763""","=""3s.5g""","=""3G""","=""4""","=""3s.7f""","=""3F*""","=""4""",,"=""T6298c72,LS""","=""""",
Mg,1,"=""""","=""""","=""4677.3""","=""1.0""","=""""","=""8.23e+03""",D+,"=""57262.760""","=""59400.763""","=""3s.5g""","=""1G""","=""4""","=""3s.7f""","=""1F*""","=""3""",,"=""T6298c72""","=""""",
Mg,1,"=""""","=""""","=""4677.3""","=""1.0""","=""""","=""5.15e+02""",E,"=""57262.760""","=""59400.763""","=""3s.5g""","=""3G""","=""3""","=""3s.7f""","=""3F*""","=""3""",,"=""T6298c72,LS""","=""""",
Mg,1,"=""""","=""""","=""4677.3""","=""1.0""","=""""","=""8.24e+03""",D+,"=""57262.760""","=""59400.763""","=""3s.5g""","=""3G""","=""3""","=""3s.7f""","=""3F*""","=""2""",,"=""T6298c72,LS""","=""""",
